BDD;ARK;ISNI;Label_categ;Prenoms;Nom;Sexe;RoleName;GenName;Surnoms;Annee_naissance;ID_Ville_naissance;Ville_naissance;Annee_mort;ID_Ville_mort;Ville_mort;Portraits;Confession;Formation;Professions;Oeuvre;Milieux_reseaux;Contacts_artistes;Fortune_critique;Publications;Citations;Bibliographie;Webographie;Notes;Commentaires
PERS0258;ark:/12148/cb123957150;0000000121173232;AUT;Jean;Chapelain;;;;;1595/12/04;2988507;Paris (France);1674/02/22;;;;;;Poète et critique littéraire. - Membre de l'Académie française;;;;;;;;;;
PERS0063;ark:/12148/cb12239031v;0000000110715278;LIBR;Claude;Chappelet;;;;;1565;;;1648/05/09;;;;;;Autre(s) graphie(s) : Chappellet. - Libraire. - Succède à Jacques Kerver. Gendre de Sébastien Nivelle. Membre de plusieurs compagnies de libraires, dont la Compagnie des Usages et la Compagnie de la Ville de Paris. Dit âgé de 24 ans en 1589 et de 84 ans lors de son décès (mai 1648);;;;;;;;;;
PERS0073;ark:/12148/cb122390326;0000000109138004;LIBR;Sébastien;Chappelet;;;;;1589/12/23;;;1647/10/05;;;;;;"Autre(s) graphie(s) : Chappellet. - Imprimeur-libraire ; imprimeur du Roi pour les monnaies (1629) ; imprimeur ordinaire du Roi (1633). - Fils aîné du libraire parisien Claude Chappelet et de Marie Nivelle. Reçu libraire en 1615, il commence à exercer dès 1614. En activité jusqu'en 1642. Décédé à Paris en oct. 1647";;;;;;;;;;
PERS0221;ark:/12148/cb12027482t;0000000121185516;AUT;Gabriel;Chappuis;;;;;1546?;3037902;Amboise (Indre-et-Loire);1613?;;;;;;Historiographe de France. - Secrétaire interprète du roi. - Traducteur de Boccace, de Castiglione et de L'Arioste;;;;;;;;;;
PERS0167;ark:/12148/cb12256800g;0000000121186551;LIBR;Jacques;Chardon;;;;;1688/02/14;;;1766/11/22;;;;;;Imprimeur-libraire. - Fils du libraire parisien Étienne Chardon. Reçu maître le 9 déc. 1712. Se démet de son imprimerie en juin 1762, mais semble avoir continué à exercer la librairie jusqu'à son décès (22 nov. 1766). Vente de son fonds peu avant, le 6 nov. 1766 (BnF, ms. fr. 21823). Père des libraires Jacques-Charles et Jean-François-Louis Chardon;;;;;;;;;;
PERS0226;;;AUT;Martin de;Charmois;;;;;;;;;;;;;;;;;;;;;;;;
PERS0227;ark:/12148/cb120512902;0000000110236920;AUT;Pierre;Charron;;;;;1541;2988507;Paris (France);1603/11/16;;;;;;Moraliste et prédicateur. - Avocat. - Homme de lettres. - Homme d'Église;;;;;;;;;;
PERS0029;ark:/12148/cb12239037x;;LIBR;Charles I;Chastelain;;;;;15..;;;1618/03/29;;;;;;"Libraire-relieur ; libraire juré de l'université [de Paris]. - Gendre (1602) du libraire parisien Guillaume de La Nouë. Décédé à Paris en mars 1618. Sa veuve Marie de La Nouë lui succède";;;;;;;;;;
PERS0110;ark:/12148/cb122390388;0000000012146163;LIBR;Guillaume;Chaudière;;;;;15..;;;1601;;;;;;"Variante(s) de prénom : Guillelmus ; Gulielmus. - Imprimeur-libraire ; libraire juré [de l'université de Paris] ; imprimeur de la Sainte Union ; également éditeur de cartes géographiques. - Fils de l'imprimeur-libraire parisien Claude Chaudière. Imprimeur et libraire attitré du cardinal de Lorraine. Membre de la Compagnie des usages. Beau-père des libraires parisiens Nicolas Buon, Robert Fouet et François Soly. Décédé en 1601 ; sa veuve lui succède à cette date";;;;;;;;;;
PERS0182;ark:/12148/cb162504741;0000000108202334;LIBR;Regnault I;Chaudière;;;;;1570/02/13;;;1633/03;;;;;;"Libraire ; libraire juré de l'université [de Paris]. - Fils de l'imprimeur-libraire parisien Guillaume I Chaudière. S'acquitte de la taxe d'ouverture de boutique en 1597-1598. Sépulture 31 mars 1633. Son fils Pierre Chaudière lui succède";;;;;;;;;;
PERS0394;ark:/12148/cb150265661;0000000121330744;EDIT;Nicolas;Chesneau;;;;;15..;;;1584;;;;;;"Libraire et éditeur d'estampes et de cartes de géographie ; libraire juré [de l'université de Paris]. - Originaire de Cheffes, en Anjou (Maine-et-Loire, près de Tiercé). En activité à Paris à partir de 1556. Membre de la Compagnie de la Grand-Navire formée en nov. 1582. Épouse en deuxièmes noces Jeanne de Roigny, sans doute apparentée à l'imprimeur-libraire parisien Jean de Roigny. Probablement aussi graveur. Présent aux foires de Francfort de 1564 à 1584. Testament 20 janv. 1584. Décédé peu avant le 10 fév. 1584. À distinguer du chanoine de Reims Nicolas Chesneau (1521-1581), auteur de nombreuses œuvres religieuses et poétiques";;;;;;;;;;
PERS0235;ark:/12148/cb12229337j;0000000122378977;LIBR;Pierre II;Chevallier;;;;;15..;;;1628;;;;;;"Libraire. - Longue période d'exercice simultané avec son frère Pierre I Chevalier, lui aussi libraire à Paris. Épouse en premières noces une fille Lesmeré, sœur de Geneviève Lesmeré, épouse du libraire parisien Rolin Thierry, et de Thomasse Lesmeré, épouse du libraire parisien Nicolas Du Fossé. Épouse en secondes noces la veuve du libraire parisien Pierre Rezé, elle-même fille du libraire Charles Macé. Décédé en 1628, alors maître de la confrérie ; sa veuve lui succède à cette date";;;;;;;;;;
PERS0429;ark:/12148/cb14486021g;0000000063027789;LIBR;Claude;Morlot;;;;;1579?;;;165.?;;;;;;"Imprimeur-libraire. - Natif de Blaise-sous-Arzillières (Marne). En apprentissage à partir du 11 juin 1605 chez l'imprimeur-libraire parisien Martin II Vérard. Reçu maître le 4 oct. 1618. Attesté lors du procès-verbal de visite des imprimeries parisiennes en fév.-mars 1644. Imprimeur de nombreuses mazarinades, il est arrêté le 17 juillet 1649 (il se dit âgé de 70 ans ou environ lors de son interrogatoire au Châtelet). Le parlement de Paris le condamne à être pendu dès le 20 juillet, pour avoir imprimé ""La Custode de la Reine"", libelle dirigé contre Anne d'Autriche, et plusieurs autres pamphlets. Conduit au supplice, il est libéré par des émeutiers qui selon les témoignages seraient des garçons libraires et imprimeurs, des gens de boutique du quartier ou des portefaix et crocheteurs. Évadé, il est repris et réincarcéré au Châtelet avant le 21 août 1650 (date d'une lettre de Michel Le Tellier au cardinal Mazarin, archives du ministère des Affaires étrangères, Mémoires et documents, 871, fol. 382). On perd ensuite sa trace";;;;;;;;;;
PERS0039;ark:/12148/cb14439491f;0000000364539059;AUT;Florisel de;Claveson;;;;;1575;;;1610;;;;;;;;;;;;;;;;
PERS0249;ark:/12148/cb118970696;0000000081246053;AUT;Claude;Clerselier;;;;;1614;;;1684;;;;;;Philosophe;;;;;;;;;;
PERS0034;ark:/12148/cb122390566;0000000121202443;LIBR;Gervais;Clouzier|Clousier;;;;;16..;;;1681/04/17;;;;;;"Libraire. - Frère puîné du libraire parisien François I Clousier, avec qui il travaillera souvent en association. Apprenti de son oncle le libraire Gervais Alliot à partir d'août 1624. Reçu libraire le 17 août 1634. Décédé à Paris en avril 1681 ; sa veuve lui succède";;;;;;;;;;
PERS0231;ark:/12148/cb12215647h;0000000108135434;AUT;Nicolas;Coëffeteau;;;;;1574;2981263;Saint-Calais (Sarthe);1623/04/21;2988507;Paris (France);;;;A aussi traduit du latin et de l'italien en français;;;;;;;;;;
PERS0195;ark:/12148/cb177251367;;LIBR;Madeleine de;Collemont;;Veuve de François Langlois, dit Ciartres;;;16..;;;16..;;;;;;Éditrice et marchande d'estampes. - Épouse François Langlois dit Ciatres (1588-1647) vers 1639. - Devenue veuve en 1647, elle se marie avec Pierre II Mariette (1634-1716) en 1655;;;;;;;;;;
PERS0053;ark:/12148/cb16519013k;0000000117640272;LIBR;Martin;Collet;;;;;159.?;;;1651;;;;;;Libraire. - En apprentissage de libraire à Paris chez la veuve de Claude de Monstr'œil à partir du 1er janv. 1611. Reçu maître le 19 déc. 1619. Encore en activité en 1651. Décédé peu avant le 13 avril 1651. Des publications paraissent encore sous son nom jusqu'en juillet 1652 au moins. Père du libraire Jean Collet, reçu maître en nov. 1652;;;;;;;;;;
PERS0334;ark:/12148/cb151116871;0000000005017240;LIBR;Claude;Collet;;;;;15..;;;1660?;;;;;;"Libraire. - En activité dès 1606, il n'acquitte la taxe d'ouverture de boutique qu'en 1608-1610. Aurait parallèlement étalé sur les ponts ; une liste du début 1650 le recense sur le Pont-Neuf. Père du libraire parisien Pierre Collet ; signe à la réception à la maîtrise de celui-ci, le 13 avril 1651";;;;;;;;;;
PERS0152;ark:/12148/cb120801309;0000000117975435;AUT;François;Colletet;;;;;1628;;;1680?;;;;;;"Poète, journaliste et éditeur. - Né à Paris, fils du poète Guillaume Colletet (1596-1659). Agent du cardinal Mazarin pendant la Fronde, à partir de 1651, il est prisonnier deux ans des Espagnols près de Luxembourg. De retour à Paris, il y travaille comme précepteur tout en publiant. Auteur et éditeur de nombreux écrits. Pratique le journalisme à partir de 1659 au service de deux libraires parisiens successivement, Jean-Baptiste Loyson (avec qui il est en procès en 1660) et Alexandre Lesselin. Monte un bureau d'adresse et lance ses propres périodiques qu'il édite lui-même, seul ou associé à un libraire, à partir de 1676 : le ""Journal de Paris"", le ""Journal des avis et des affaires de Paris"" (interdit à partir du 26 nov. 1676), le ""Bureau academique des honnestes divertissemens de l'esprit"" (5 mars - 30 nov. 1677) et ""La Bibliographie françoise et latine de Paris"" (1678). Fort d'un privilège général obtenu en 1660 pour ses publications, il s'attire cependant des poursuites pour cause d'empiétement sur le privilège de la ""Gazette"" des Renaudot";;;;;;;;;;
PERS0151;ark:/12148/cb12229356t;0000000079801476;LIBR;Arnaud;Colomiez;;;;;1625/10?;;;1666;;;;;;"Imprimeur-libraire ; imprimeur du Roi ; à Toulouse, (premier) imprimeur ordinaire du Roi et de l'université ; à Castres, imprimeur (ordinaire) du Roi et de la ville. - Un Arnaud Colomiez est baptisé le 19 oct. 1625 à Toulouse, paroisse Notre-Dame-du-Taur ; s'agit-il de lui ou d'un fils ? Des éditions portent son nom dès 1631. Veuve attestée en 1666";;;;;;;;;;
PERS0289;ark:/12148/cb13755536d;0000000369729214;LIBR;Marguerite;Colomiez;;Veuve de Jacques Colomiez;;;15..;;;16..;;;;;;"Nom patronymique : Marguerite (de) Molinier. - Imprimeur du Roi ; imprimeur juré de l'université [de Toulouse]. - En procès avec l'imprimeur-libraire de Bordeaux Simon Millanges d'oct. 1601 à déc. 1619 au moins";;;;;;;;;;
PERS0290;ark:/12148/cb13179497p;0000000113566917;LIBR;Raymond;Colomiez;;;;;15..;;;163.?;;;;;;"Variante(s) de prénom : R. ; Ramond. - Imprimeur juré de l'université [de Toulouse] ; imprimeur (ordinaire) du Roi. - Peut-être fils de l'imprimeur-libraire de Toulouse Arnaud I Colomiez à qui il succéderait en 1588. En 1603, il transporte ses presses à Vénès dans le château de Guillaume de Nautonnier pour y imprimer son livre, la ""Mecometrie de leymant""";;;;;;;;;;
PERS0375;;;LIBR;Arnaud II;Colomiez;;;;;;;;;;;;;;;;;;;;;;;;
PERS0233;ark:/12148/cb12027130r;0000000122834258;AUT;Francesco;Colonna;;;;;1433?;;;1527;;;;;;"""Franciscus Columna"", auteur du ""Songe de Poliphile"" (Hypnerotomachia Poliphili), est traditionnellement identifié avec Francesco Colonna, dominicain vénitien (ca 1433-juillet ou octobre 1527). - Jacques Gohory voyait dans l'auteur du ""Songe..."" un parent des Colonna de Rome ; L. Calvesi et E. Kretzulesco-Quaranta l'identifient à un prince de Palestrina";;;;;;;;;;
PERS0244;ark:/12148/cb12429151w;0000000079924898;LIBR;Pierre;Compagnon;;;;;1614?;;;1692/06;;;;;;"Libraire-relieur. - Natif de Villebois, en Bugey (Ain). Établi à Lyon en 1648 ou peu avant. Membre de la ""Compagnie des libraires de Lyon"" entre 1657 et 1673 ; membre de la Compagnie des usages de Lyon formée en avril 1670. Âgé d'environ 50 ans en mars 1664. Revend son fonds le 13 mai 1692 pour cause de vieillesse et d'infirmité de la main droite ; décédé peu après dans sa maison de campagne de Montagny près Givors. Inventaire après décès le 11 juin 1692. Sa veuve, Hélène Pavy, revend sa librairie à Antoine I Perisse en sept. 1692";;;;;;;;;;
PERS0259;ark:/12148/cb11897533k;0000000121280193;AUT;Valentin;Conrart;;;;;1603;2988507;Paris (France);1675/09/29;2988507;Paris (France);;;;Premier secrétaire perpétuel de l'Académie (1634 à 1675). - Poète et grammairien;;;;;;;;;;
PERS0262;ark:/12148/cb12966935t;0000000053939258;AUT;Paul;Contant;;;;;1562?;;;1629?;;;;;;Poète. - Apothicaire à Poitiers;;;;;;;;;;
PERS0234;ark:/12148/cb12132220w;000000010884824X;AUT;Natale;Conti;;;;;1520;3173435;Milan (Italie);1582;;;;;;Humaniste philologue et poète. - Précepteur de Francesco Panigarola;;;;;;;;;;
PERS0165;ark:/12148/cb12346080q;0000000107178459;LIBR;Benoît;Coral;;;;;1609?;;;1673;;;;;;"Libraire. - Fils d'un chapelier de Lyon ; entré en apprentissage en avril 1630 ; qualifié de libraire-relieur dès avril 1647. Dit âgé d'environ 55 ans en mars 1664. Membre de la Compagnie des libraires de Lyon en 1657-1673. Beau-père du libraire Thomas Amaulry. Veuve attestée à partir de 1673";;;;;;;;;;
PERS0189;;;LIBR;;Coral;;Veuve de Benoît Coral;;;;;;;;;;;;;;;;;;;;;;
PERS0264;ark:/12148/cb11897704j;0000000121296128;AUT;Pierre;Corneille;;;;;1606/06/06;2982652;Rouen;1684/10/01;2988507;Paris;;;;Auteur dramatique et poète sacré. - Membre de l'Institut, Académie française (élu en 1647). - Avocat. - Frère de : Corneille, Thomas (1625-1709), auteur dramatique;;;;;;;;;;
PERS0003;ark:/12148/cb121709685;0000000080775172;AUT;Randle;Cotgrave;;;;;15..;;;1634?;;;;;;Lexicographe;;;;;;;;;;
PERS0041;ark:/12148/cb12250789b;0000000000020934;LIBR;Philippe;Cottereau;;;;;1571/04/07;;;1628?;;;;;;"Variante(s) de prénom : Philippes ; Philippus. - Imprimeur-libraire ; à Blois, imprimeur du Roi et de la ville. - Fils et successeur du libraire de Chartres Martin Cottereau (1545?-1590?), et neveu de l'imprimeur de Chartres Claude Cottereau (1551-1625). Exerce d'abord la librairie puis aussi l'imprimerie (1594) à Chartres, avant de s'établir en 1602 à Blois, où il succède à Pierre Cheron, décédé en mars de cette année. Ses fils Jacques et Michel Cottereau lui succèdent à Blois par contrat du 25 nov. 1627";;;;;;;;;;
PERS0056;ark:/12148/cb159567611;0000000054941659;LIBR;Joseph;Cottereau;;;;;1583;;;1652/07/13;;;;;;"Imprimeur-libraire ; libraire juré de l'université [de Paris]. - Fils du libraire de Chartres Martin Cottereau. Baptisé d'abord dans le calvinisme, il reçoit le baptême catholique à l'âge de deux ans, le 16 nov. 1585 à Chartres. S'établit à Paris et acquitte la taxe d'ouverture de boutique pour 1606-1608. Beau-frère de l'imprimeur-libraire parisien Denis I Thierry. Acquiert en avril 1638 le fonds de son cousin Pierre Cottereau, décédé imprimeur-libraire à Chartres, pour son propre fils Laurent Cottereau, reçu libraire à Paris. En sept. 1638, revend sa propre librairie au libraire parisien Siméon Piget mais continue à exercer l'imprimerie";;;;;;;;;;
PERS0144;ark:/12148/cb12459625b;0000000061260958;AUT;Louis;Coulon;;;;;1605;;;1664;;;;;;Prêtre. - Auteur de guides pratiques;;;;;;;;;;
PERS0046;ark:/12148/cb12398723b;0000000122787623;LIBR;Augustin;Courbé;;;;;159.?;;;166.?;;;;;;"Imprimeur et libraire (ordinaire) de Monsieur (ou : Monseigneur) [le duc d'Orléans], frère du Roi (1630-1643 ; 1650). - Entré en apprentissage en juin 1613 chez le libraire parisien Jean I Gesselin. Reçu maître en oct. 1623. Thomas Jolly lui succède en 1663 sous la même enseigne après avoir racheté la moitié de son fonds en 1662. Figure en 1666 parmi les anciens adjoints de la communauté encore en vie. Veuve attestée entre fév. 1672 et 1676 (importante créancière lors de la faillite Jolly). Mais plusieurs publications paraissent encore sous le nom d'Augustin Courbé, jusqu'en 1692";;;;;;;;;;
PERS0357;ark:/12148/cb12397938p;0000000419896759;AUT;Jean;Cousin;;;;;1536?;;;1594?;2988507;Paris (France);;;;Peintre, sculpteur, graveur, dessinateur, illustrateur;;;;;;;;;;
PERS0019;ark:/12148/cb122930320;0000000423421174;LIBR;Sébastien;Cramoisy;;;;;1584?;;;1669/01/29;;;;;;"Variante(s) de prénom : Sebastianus. - Imprimeur-libraire ; à Pont-à-Mousson, imprimeur du duc de Lorraine ; à Paris, imprimeur (ordinaire) du Roi (1633) (et de la Marine (1641)) ; et de la Reine régente (1643) ; et de la cour des Monnaies (1646). - Né en 1583 ou 1584. Fils de Pierre Cramoisy, marchand bourgeois de Paris, et non d'un premier Sébastien Cramoisy libraire ; petit-fils par sa mère et successeur de l'imprimeur-libraire Sébastien Nivelle, mort en 1603. Acquitte la taxe d'ouverture de boutique en 1606. Membre de la Compagnie de la Grand-Navire, qu'il dirige, et de la Compagnie des usages (1631). Reçoit dès sa fondation en 1640 la direction technique de l'Imprimerie royale, avant d'en être officiellement nommé directeur en 1643. Échevin de Paris (1639-1641), grand juge consul (1652), administrateur de l'église et hôpital Saint-Jacques (1636), un des quatre directeurs et administrateurs perpétuels du nouvel Hôpital général (1656) ; contrôleur du dépôt des publications à la Bibliothèque du Roi (1656) et garde des poinçons du Roi (1660). Joue un rôle important durant la Fronde, participant notamment aux délibérations de l'hôtel de ville de Paris. Son petit-fils Sébastien Mabre-Cramoisy est pourvu dès 1660 de la survivance de ses places d'imprimeur du Roi et de directeur de l'Imprimerie royale. Dit âgé de 83 ou 84 ans lors de son décès (janv. 1669)";;;;;;;;;;
PERS0038;ark:/12148/cb12230428w;0000000109121448;LIBR;Claude;Cramoisy;;;;;159.;;;1680/03/27;;;;;;"Imprimeur-libraire et relieur. - Frère cadet (et non fils) de Sébastien I Cramoisy, chez qui il a été reçu apprenti en janv. 1608 et sous la direction de qui il sera ""conducteur des travaux"" de l'Imprimerie royale. Reçu maître le 31 août 1618. Membre de la Compagnie des usages formée en 1631. - A souvent travaillé en association avec ses frères Sébastien I et Gabriel Cramoisy";;;;;;;;;;
PERS0068;ark:/12148/cb10673999r;0000000073102316;AUT;Louis de;Cressolles;;;;;1568;;;1634/11/11;3169070;Rome (Italie);;;;Jésuite. - Professeur à l'Université de Pont-à-Mousson. - Secrétaire du général de la Compagnie à Rome;;;;;;;;;;
PERS0445;ark:/12148/cb12751249t;0000000117948162;AUT;Oswald;Croll;;;;;1560?;2809985;Wetter, Allemagne;1609/12/25;3067696;Prague;;;;"Médecin, alchimiste et physicien. - Fut émissaire du prince Christian d'Anhalt. - Posa les bases de la ""iatrochemistry""";;;;;;;;;;
PERS0239;ark:/12148/cb121342164;0000000109233829;AUT;Marin;Cureau de La Chambre;;;;;1596;2979357;Saint-Jean-d'Assé (Sarthe);1669/11/29;2988507;Paris (France);;;;Médecin du roi dès 1632. - Membre de l'Académie française (élu en 1634);;;;;;;;;;
PERS0327;ark:/12148/cb10615313s;;AUT;Coelius Augustinus;Curio;;;;;;;;;;;;;;;;;;;;;;;;
PERS0070;ark:/12148/cb15104195s;0000000108711489;AUT;Jean;Daillé;;;;;1594/01/06;3026141;Châtellerault (Vienne);1670/04/15;;;;;;Pasteur de l'Église de Charenton. - Père de Adrien (ou Jean) Daillé (1628-1690);;;;;;;;;;
PERS0241;ark:/12148/cb16166384j;0000000073443882;LIBR;Jacques;Dallin;;;;;15..;;;167.?;;;;;;Imprimeur-libraire et relieur. - Fils de l'imprimeur-libraire parisien Rémy Dallin. Étudiant en 1609. Reçu maître le 5 nov. 1626. Beau-père des libraires Simon Bénard, Thomas Jolly, de Paris, et Barthélemy Rivière, de Lyon, qui a été son apprenti. Encore en activité en 1677. N'est plus attesté sur la liste de 1682;;;;;;;;;;
PERS0154;ark:/12148/cb121818132;0000000061432238;AUT;Pierre;Dan;;;;;158.?;;;1649/10/08;;;;;;Trinitaire;;;;;;;;;;
PERS0305;ark:/12148/cb12259347g;0000000121202494;AUT|LIBR;Pierre;Daret;;;;;1604?;2988507;Paris;1678/03/29;3021670;Dax (Landes);;;;Graveur. - Éditeur et marchand d'estampes;;;;;;;;;;
PERS0162;ark:/12148/cb13527475j;0000000000859369;LIBR;Gustave;Daupeley;;;;;1842/09/22;;;1906/11/29;2990272;Nogent-le-Rotrou (Eure-et-Loir);;;;Imprimeur. - Gendre d'Aristide Gouverneur (1829-1898), il lui succède en 1875;;;;;;;;;;
PERS0260;ark:/12148/cb144537363;0000000110388393;LIBR;Pierre;David;;;;;160.;;;1660/08/05;;;;;;Libraire-relieur. - Fils d'un bourgeois de Paris. Reçu apprenti du libraire parisien Antoine de Sommaville en mai 1622. Reçu maître le 24 juillet 1631. Aurait eu, en 1632 au moins, l'usage d'une imprimerie. Épouse avant 1645 Anne Barbé, veuve du libraire Nicolas I Bessin. Décédé à Paris en août 1660. Sa veuve lui succède;;;;;;;;;;
PERS0418;ark:/12148/cb165429010;0000000356443401;LIBR;David;Le Clerc;;;;;1561/10;;;1613;;;;;;Imprimeur-libraire, marchand et éditeur d'estampes. - Fils du libraire et éditeur d'estampes Jean III Le Clerc. Baptisé à Paris le 1er nov. 1561. Exerce de 1587 à sa mort, peu avant le 19 oct. 1613 (inventaire après décès). Sa veuve lui succède et a parfois publié sous son nom jusqu'en 1615 au moins;;;;;;;;;;
PERS0267;ark:/12148/cb12171094g;0000000081325886;AUT;Pierre de;Deimier;;;;;1580?;3035681;Avignon (Vaucluse);1618?;;;;;;Poète;;;;;;;;;;
PERS0242;ark:/12148/cb12110400x;0000000109021180;AUT;Giambattista;Della Porta;;;;;1535;3164407;Vico Equense, Italie;1615/02/04;3172394;Naples, Italie;;;;Physicien, naturaliste. - Dramaturge;;;;;;;;;;
PERS0420;ark:/12148/cb14574477p;0000000009253822;LIBR;Denis;Langlois;;;;;1574?;;;1634;;;;;;"Variante(s) de prénom : Denys. - Imprimeur-libraire. - Aurait été médecin avant d'exercer l'imprimerie et la librairie. Publications attestées à partir de 1594. Dit âgé d'environ 50 ans en mai 1624, à l'occasion d'un interrogatoire consécutif à la saisie d'un ouvrage du bénédictin anglais John Barnes. Encore en activité en 1634 ; veuve attestée en cette même année 1634. Inventaire après décès le 10 sept. 1635";;;;;;;;;;
PERS0354;ark:/12148/cb12229398r;0000000000546733;LIBR;Pierre;Des Hayes;;;;;15..;;;1659;;;;;;Autre(s) graphie(s) : Des-Hayes. - Imprimeur-libraire. - De confession calviniste. En activité dès fév. 1606. Le début de son exercice se confond avec la fin de celui de son père, l'imprimeur-libraire Pierre I Des Hayes. Épouse avant 1627 Marie Aignan (m. en janv. 1654), veuve, mère d'Antoine Cellier qu'il a pris pour apprenti en janv. 1624 et qui sera son associé. Oncle de François Muguet, son apprenti à partir d'oct. 1655. Décédé en 1659;;;;;;;;;;
PERS0156;ark:/12148/cb10467199z;0000000062989994;AUT;François;Des Rues;;;;;1575?;;;1633;;;;;;Receveur général des finances à Soissons en 1602;;;;;;;;;;
PERS0450;ark:/12148/cb157562243;0000000064538898;LIBR;Isaac II;Desbordes;;;;;1604;;;1682;;;;;;Imprimeur-libraire. - Fils du libraire de Saumur Isaac I Desbordes. De confession calviniste. Travaille en association de 1629 à 1638 avec Jean I Lesnier, avec qui il imprime les thèses de l'Académie protestante de Saumur. À partir de 1675, il travaille avec l'un de ses fils, Henri Desbordes;;;;;;;;;;
PERS0246;ark:/12148/cb11899775j;0000000121296144;AUT;René;Descartes;;;;;1596/03/31;3008759;Descartes (Indre-et-Loire);1650/02/11;2673730;Stockholm;;;;A aussi écrit en latin;;;;;;;;;;
PERS0180;ark:/12148/cb15587255w;0000000108996031;AUT;Roland;Desmarets;;;;;1594;2988507;Paris;1653/12/27;;;;;;Frère aîné de Jean Desmarets de Saint-Sorlin. - Avocat. - Homme de lettres et philologue;;;;;;;;;;
PERS0269;ark:/12148/cb12082496j;0000000122760922;AUT;Jean;Desmarets de Saint-Sorlin;;;;;1595;2988507;Paris;1676/10/28;2988507;Paris;;;;Poète, romancier, auteur dramatique. - Adversaire des jansénistes. - Membre de l'Académie française (élu en 1634);;;;;;;;;;
PERS0090;ark:/12148/cb12229415h;0000000108720465;LIBR;Guillaume;Desprez;;;;;1629?;;;1708/07/04;;;;;;"Imprimeur-libraire ; imprimeur et libraire ordinaire du Roi (1686). - En apprentissage chez l'imprimeur-libraire parisien Denis de La Noue à partir de mars 1643. Reçu libraire le 30 mars 1651, il publie au moins une mazarinade en 1652 mais n'aurait ouvert boutique qu'en 1654. Rachète le fonds du libraire Charles Savreux vers 1673-1674. Ouvre un atelier d'imprimerie dès 1687, mais ne sera reçu imprimeur en la communauté qu'en nov. 1706. Dit âgé de 72 ans lors de l'enquête de nov. 1701. Décédé le 4 juillet 1708. Inventaire après décès les 22 juillet et 22 oct. 1709";;;;;;;;;;
PERS0298;ark:/12148/cb106917932;;AUT;Regnault;Dorléans;;sieur de Since;;;;;;;;;;;;;;;;;;;;;;
PERS0099;ark:/12148/cb14476792q;0000000113469359;LIBR;David;Douceur;;;;;15..;;;162.;;;;;;Libraire juré (de l'université) [de Paris]. - D'abord établi sur le Pont-Neuf, puis au bas de la rue de la Harpe, et enfin rue Montorgueil, il est contraint par arrêt du 8 août 1600 de rentrer dans le quartier de l'Université et s'installe rue Saint-Jacques. Condamné par arrêt du parlement de Paris du 8 oct. 1587 pour vente de livres prohibés. Décédé entre le 13 déc. 1623 (saisie effectuée sur lui) et le 6 nov. 1626 (contrat signé par son gendre Mathieu II Guillemot), il cesse de publier dès 1618. Père du libraire Étienne Douceur;;;;;;;;;;
PERS0271;ark:/12148/cb123220047;0000000122785556;AUT;Joachim;Du Bellay;;;;;1522?;2998165;Chateau de la Turmelière (Maine-et-Loire);1560/01/01;2988507;Paris (France);;;;Poète de la Pléiade;;;;;;;;;;
PERS0129;ark:/12148/cb122304831;0000000110444201;LIBR;Jean;du Bray;;;;;1611/07/17;;;1674/04/28;;;;;;Libraire. - Fils du libraire parisien Toussaint Du Bray (1580?-1637). Reçu maître le 23 janv. 1636. En 1642, succède à sa mère, veuve de Toussaint Du Bray. Gendre (juin 1642) du libraire Sébastien Chappelet (1589-1647), dont il reprend l'une des enseignes. Décédé à Paris en avril 1674. Sa veuve Madeleine Chappelet (162.-1691) lui succède;;;;;;;;;;
PERS0272;ark:/12148/cb135683295;0000000121321725;LIBR;Toussaint;du Bray;;;;;1580?;;;1637/02/28;;;;;;"Variante(s) de prénom : Toussainct(s) ; Tussanus. - Libraire ; libraire juré de l'université [de Paris] (1624). - Fils d'un maître fripier parisien décédé peu avant le 28 oct. 1583. Beau-frère du fondeur et imprimeur parisien Jacques I de Sanlecque. En apprentissage en 1600. Établi avant le 21 déc. 1602. Encore mineur (moins de 25 ans) au 1er oct. 1603. Décédé à Paris le 28 fév. 1637. Inventaire après décès 11 mars 1637. Veuve attestée en 1637";;;;;;;;;;
PERS0126;ark:/12148/cb15527379x;;LIBR;Jacques;Du Breuil;;;;;161.;;;16..;;;;;;Troisième fils du libraire parisien Claude Du Brueil (m. janv. 1615). Reçu maître le 6 sept. 1635. Il aurait été un des relieurs du cardinal Mazarin. Encore en activité en 1665;;;;;;;;;;
PERS0193;ark:/12148/cb121337795;0000000080771059;AUT;Jean;Du Breuil;;;;;1602/07/22;;;1670/04/27;;;;;;Jésuite. - Fils du libraire Claude Du Breuil, exerce d'abord la profession de son père puis entre dans la Compagnie de Jésus. - A séjourné plusieurs années à Rome où il s'est intéressé à l'architecture. - Signe parfois de l'anagramme de Jean Du Breuil jésuite : Silvère de Bitainvieu;;;;;;;;;;
